data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,inter1,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1357590,566,NIG11838,11838,08 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Benue,Logo,Anyiin,7.8188,9.2453,1,Premium Times,National,"Suspected Fulanis attacks Anyiin, Logo LGA. Five reported wounded.",0,1524053823,NGA
1357592,566,NIG11840,11840,08 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Delta,Ughelli North,Unenurhie,5.3676,6.0596,1,Vanguard (Lagos),National,A least seven persons were reportedly shot at by gunmen suspected to be herdsmen along the Unenurhie community axis of the East-West road of Delta State. Injuries reported but no deaths.,0,1524053823,NGA
1357813,566,NIG11831,11831,07 February 2018,2018,2,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Oyo,Saki West,Saki,8.6667,3.3833,1,Daily Independent (Nigeria),National,Suspected Fulani militia attacked and killed a Special Anti-Robbery Squad (SARS) officer in Saki. Date not known - source dated 08/02.,1,1524053823,NGA
1357834,566,NIG11846,11846,07 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Nasarawa,Lafia,Agyaragu Gofa,8.45,8.5333,1,This Day (Lagos),National,"Fulanis attack the communities of Agwatashi, Obi, Agyaragu and Doma in the southern senatorial zone of the state ""[over the course of] last week"" (source dated 12/02). 20 reported deaths among the towns.",5,1524053823,NGA
1357835,566,NIG11847,11847,07 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Nasarawa,Awe,Awe,8.1,9.1333,2,This Day (Lagos),National,"Fulanis attack the communities of Agwatashi, Obi, Agyaragu and Doma in the southern senatorial zone of the state ""[over the course of] last week"" (source dated 12/02). 20 reported deaths among the towns.",5,1524053823,NGA
1357836,566,NIG11848,11848,07 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Nasarawa,Doma,Doma,8.3833,8.35,1,This Day (Lagos),National,"Fulanis attack the communities of Agwatashi, Obi, Agyaragu and Doma in the southern senatorial zone of the state ""[over the course of] last week"" (source dated 12/02). 20 reported deaths among the towns.",5,1524053823,NGA
1357837,566,NIG11849,11849,07 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Nasarawa,Keana,Keana,8.1333,8.8,2,This Day (Lagos),National,"Fulanis attack the communities of Agwatashi, Obi, Agyaragu and Doma in the southern senatorial zone of the state ""[over the course of] last week"" (source dated 12/02). 20 reported deaths among the towns.",5,1524053823,NGA
1358477,566,NIG11825,11825,05 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Benue,Guma,Gbajimba,7.8155,8.8604,2,The Sun (Nigeria),National,"Fulani militia attack Waku Village in Guma Local Government Area, killing two and injuring others.",2,1524053824,NGA
1358859,566,NIG11820,11820,03 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Adamawa,Song,Song,9.8244,12.625,2,The Sun (Nigeria),National,"Fulanis again attack several communities in Song LGA (the first attack being on 01/02), killing five civilians. Local militia in Simba responded, killing four Fulani.",4,1524053824,NGA
1358860,566,NIG11821,11821,03 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Adamawa,Song,Song,9.8244,12.625,2,The Sun (Nigeria),National,"Fulanis again attack several communities in Song LGA (the first attack being on 01/02), killing five civilians. Local militia in Simba responded, killing four Fulani.",5,1524053824,NGA
1359240,566,NIG11808,11808,01 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Delta,Burutu,Torfagbene,5.3832,5.5811,1,Vanguard (Lagos),National,"Fulanis attack a group of farmers in Torugbene, put are repelled by local militia. No causalities reported.",0,1524053825,NGA
1359241,566,NIG11806,11806,01 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Nasarawa,Toto,Toto,8.3789,7.0844,2,Daily Independent (Nigeria),National,A police officer is attacked and killed by Fulanis in Toto LGA of Nassarawa. The body of the victim was found two days following the attacks.,1,1524053825,NGA
1359242,566,NIG11810,11810,01 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Taraba,Gassol,Wuro Jam,8.4833,10.25,1,Vanguard (Lagos),National,Unknown gunmen suspected to be Fulani herdsmen attack and killed four persons in Ngutsen village of Wurojam ward in Gasol local government area of Taraba state. An eye witness spoke to Vanguard on phone said the attackers arrived the village at about 9 pm on Thursday.,4,1524053825,NGA
